user_name,url,created_at,map1,votes1,map2,votes2,map3,votes3,total_votes,percent1,percent2,percent3,winner
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,ESPERANÇA,1,PARAÍSO,2,MIDTOWN,5,8,0.125,0.25,0.625,MIDTOWN
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,ESPERANÇA,0,NUMBANI,4,CIRCUIT ROYAL,4,8,0.0,0.5,0.5,draw
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,BLIZZARD WORLD,3,SURAVASA,1,COLOSSEO,2,6,0.5,0.16666666666666666,0.3333333333333333,BLIZZARD WORLD
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,AATLIS,1,KING'S ROW,6,ESPERANÇA,0,7,0.14285714285714285,0.8571428571428571,0.0,KING'S ROW
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,NEW QUEEN STREET,0,HAVANA,3,COLOSSEO,5,8,0.0,0.375,0.625,COLOSSEO
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,AATLIS,2,NUMBANI,6,NEW JUNK CITY,0,8,0.25,0.75,0.0,NUMBANI
PLAYTO_ow,https://www.twitch.tv/videos/2502306342,2025-07-03,EICHENWALDE,7,PARAÍSO,0,BLIZZARD WORLD,1,8,0.875,0.0,0.125,EICHENWALDE
PLAYTO_ow,https://www.twitch.tv/videos/2502306342,2025-07-03,HOLLYWOOD,0,NUMBANI,5,AATLIS,2,7,0.0,0.7142857142857143,0.2857142857142857,NUMBANI
PLAYTO_ow,https://www.twitch.tv/videos/2502306342,2025-07-03,SURAVASA,5,AATLIS,4,RUNASAPI,0,9,0.5555555555555556,0.4444444444444444,0.0,SURAVASA
PLAYTO_ow,https://www.twitch.tv/videos/2502306342,2025-07-03,HAVANA,3,NEW JUNK CITY,4,AATLIS,2,9,0.3333333333333333,0.4444444444444444,0.2222222222222222,NEW JUNK CITY
PLAYTO_ow,https://www.twitch.tv/videos/2502306342,2025-07-03,HAVANA,4,NEPAL,1,AATLIS,1,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,HAVANA
PLAYTO_ow,https://www.twitch.tv/videos/2501440402,2025-07-02,JUNKERTOWN,0,SHAMBALI MONASTERY,1,ROUTE 66,5,6,0.0,0.16666666666666666,0.8333333333333334,ROUTE 66
PLAYTO_ow,https://www.twitch.tv/videos/2501440402,2025-07-02,AATLIS,1,HOLLYWOOD,4,BLIZZARD WORLD,1,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,HOLLYWOOD
PLAYTO_ow,https://www.twitch.tv/videos/2501440402,2025-07-02,PARAÍSO,1,NUMBANI,2,NEW JUNK CITY,5,8,0.125,0.25,0.625,NEW JUNK CITY
PLAYTO_ow,https://www.twitch.tv/videos/2501440402,2025-07-02,JUNKERTOWN,3,WATCHPOINT: GIBRALTAR,0,DORADO,3,6,0.5,0.0,0.5,draw
PLAYTO_ow,https://www.twitch.tv/videos/2501440402,2025-07-02,EICHENWALDE,0,ROUTE 66,3,BUSAN,4,7,0.0,0.42857142857142855,0.5714285714285714,BUSAN
PLAYTO_ow,https://www.twitch.tv/videos/2501440402,2025-07-02,AATLIS,5,HAVANA,1,DORADO,0,6,0.8333333333333334,0.16666666666666666,0.0,AATLIS
LhCloudy27,https://www.twitch.tv/videos/2501876902,2025-07-02,KING'S ROW,4,NEW QUEEN STREET,5,EICHENWALDE,0,9,0.4444444444444444,0.5555555555555556,0.0,NEW QUEEN STREET
LhCloudy27,https://www.twitch.tv/videos/2501876902,2025-07-02,JUNKERTOWN,3,BUSAN,2,AATLIS,2,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,JUNKERTOWN
LhCloudy27,https://www.twitch.tv/videos/2501876902,2025-07-02,NUMBANI,0,LIJIANG TOWER,6,MIDTOWN,1,7,0.0,0.8571428571428571,0.14285714285714285,LIJIANG TOWER
LhCloudy27,https://www.twitch.tv/videos/2501876902,2025-07-02,AATLIS,4,NEW QUEEN STREET,4,RUNASAPI,1,9,0.4444444444444444,0.4444444444444444,0.1111111111111111,draw
LhCloudy27,https://www.twitch.tv/videos/2501876902,2025-07-02,OASIS,3,DORADO,1,NEPAL,5,9,0.3333333333333333,0.1111111111111111,0.5555555555555556,NEPAL
LhCloudy27,https://www.twitch.tv/videos/2501876902,2025-07-02,SAMOA,6,NEW QUEEN STREET,2,AATLIS,2,10,0.6,0.2,0.2,SAMOA
LhCloudy27,https://www.twitch.tv/videos/2501876902,2025-07-02,BLIZZARD WORLD,0,SAMOA,3,HOLLYWOOD,2,5,0.0,0.6,0.4,SAMOA
LhCloudy27,https://www.twitch.tv/videos/2501876902,2025-07-02,SHAMBALI MONASTERY,2,BUSAN,0,KING'S ROW,6,8,0.25,0.0,0.75,KING'S ROW
LhCloudy27,https://www.twitch.tv/videos/2501876902,2025-07-02,SHAMBALI MONASTERY,5,AATLIS,1,RIALTO,2,8,0.625,0.125,0.25,SHAMBALI MONASTERY
ZBRA,https://www.twitch.tv/videos/2502807928,2025-07-03,ANTARCTIC PENINSULA,1,CIRCUIT ROYAL,0,BUSAN,5,6,0.16666666666666666,0.0,0.8333333333333334,BUSAN
ZBRA,https://www.twitch.tv/videos/2502807928,2025-07-03,RUNASAPI,1,RIALTO,0,KING'S ROW,7,8,0.125,0.0,0.875,KING'S ROW
ZBRA,https://www.twitch.tv/videos/2502807928,2025-07-03,BUSAN,5,AATLIS,1,ANTARCTIC PENINSULA,0,6,0.8333333333333334,0.16666666666666666,0.0,BUSAN
cartifan22_,https://www.twitch.tv/videos/2502268715,2025-07-03,MIDTOWN,0,OASIS,6,BLIZZARD WORLD,0,6,0.0,1.0,0.0,OASIS
cartifan22_,https://www.twitch.tv/videos/2502268715,2025-07-03,CIRCUIT ROYAL,1,ROUTE 66,0,ILIOS,5,6,0.16666666666666666,0.0,0.8333333333333334,ILIOS
cartifan22_,https://www.twitch.tv/videos/2501403883,2025-07-02,NEW JUNK CITY,6,AATLIS,1,HOLLYWOOD,2,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,NEW JUNK CITY
cartifan22_,https://www.twitch.tv/videos/2501403883,2025-07-02,DORADO,2,WATCHPOINT: GIBRALTAR,4,HAVANA,1,7,0.2857142857142857,0.5714285714285714,0.14285714285714285,WATCHPOINT: GIBRALTAR
cartifan22_,https://www.twitch.tv/videos/2501403883,2025-07-02,SHAMBALI MONASTERY,0,ILIOS,6,PARAÍSO,1,7,0.0,0.8571428571428571,0.14285714285714285,ILIOS
cartifan22_,https://www.twitch.tv/videos/2501403883,2025-07-02,SAMOA,2,RUNASAPI,4,JUNKERTOWN,0,6,0.3333333333333333,0.6666666666666666,0.0,RUNASAPI
cartifan22_,https://www.twitch.tv/videos/2501403883,2025-07-02,KING'S ROW,5,HOLLYWOOD,2,BLIZZARD WORLD,0,7,0.7142857142857143,0.2857142857142857,0.0,KING'S ROW
cartifan22_,https://www.twitch.tv/videos/2501403883,2025-07-02,AATLIS,0,LIJIANG TOWER,4,CIRCUIT ROYAL,1,5,0.0,0.8,0.2,LIJIANG TOWER
Yeatle,https://www.twitch.tv/videos/2501814240,2025-07-02,NEW QUEEN STREET,3,AATLIS,3,ROUTE 66,3,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,draw
Yeatle,https://www.twitch.tv/videos/2501814240,2025-07-02,WATCHPOINT: GIBRALTAR,3,ESPERANÇA,2,AATLIS,3,8,0.375,0.25,0.375,draw
Yeatle,https://www.twitch.tv/videos/2501814240,2025-07-02,ILIOS,5,RUNASAPI,1,AATLIS,0,6,0.8333333333333334,0.16666666666666666,0.0,ILIOS
Yeatle,https://www.twitch.tv/videos/2501814240,2025-07-02,KING'S ROW,6,BLIZZARD WORLD,0,AATLIS,3,9,0.6666666666666666,0.0,0.3333333333333333,KING'S ROW
Yeatle,https://www.twitch.tv/videos/2501814240,2025-07-02,EICHENWALDE,6,HOLLYWOOD,0,OASIS,2,8,0.75,0.0,0.25,EICHENWALDE
hiimsky,https://www.twitch.tv/videos/2502344798,2025-07-03,DORADO,1,PARAÍSO,0,NEW QUEEN STREET,1,2,0.5,0.0,0.5,draw
hiimsky,https://www.twitch.tv/videos/2502344798,2025-07-03,MIDTOWN,0,NEW JUNK CITY,2,ILIOS,4,6,0.0,0.3333333333333333,0.6666666666666666,ILIOS
hiimsky,https://www.twitch.tv/videos/2502344798,2025-07-03,NEW QUEEN STREET,1,ESPERANÇA,6,NUMBANI,3,10,0.1,0.6,0.3,ESPERANÇA
hiimsky,https://www.twitch.tv/videos/2502129239,2025-07-02,AATLIS,1,DORADO,1,HOLLYWOOD,6,8,0.125,0.125,0.75,HOLLYWOOD
hiimsky,https://www.twitch.tv/videos/2502107089,2025-07-02,CIRCUIT ROYAL,3,BLIZZARD WORLD,3,RIALTO,3,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,draw
pirate_ow_,https://www.twitch.tv/videos/2502942901,2025-07-03,DORADO,0,AATLIS,0,BLIZZARD WORLD,6,6,0.0,0.0,1.0,BLIZZARD WORLD
pirate_ow_,https://www.twitch.tv/videos/2502942901,2025-07-03,NEW JUNK CITY,2,OASIS,5,AATLIS,1,8,0.25,0.625,0.125,OASIS
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,HOLLYWOOD,1,WATCHPOINT: GIBRALTAR,0,AATLIS,6,7,0.14285714285714285,0.0,0.8571428571428571,AATLIS
